year,state,hs_grad,bachelors,adv_degree,media houdhold income,rep_spending,dem_spending,inflation_rate,poverty_rate,stock_change,unemployment_rate,perc_urban,rep_sen,rep_house,campaign_fund,rep_legis,stateGDP,rep_win
2008,District of Columbia,85.8,48.2,26.7,63446,267.985,850.128,0.09,17.2,-40.54,6.1,100,0.49,0.4644,0.2397,7,3.526518047,0
2008,Florida,85.2,25.8,9,51196,267.985,850.128,0.09,13.2,-40.54,5,90.725,0.49,0.4644,0.2397,64,0.852069172,0
2008,Georgia,83.9,27.5,9.7,52760,267.985,850.128,0.09,14.7,-40.54,5.3,74.225,0.49,0.4644,0.2397,60,0.914010041,1
2008,Hawaii,90.3,29.1,9.9,70215,267.985,850.128,0.09,9.1,-40.54,3.2,91.8,0.49,0.4644,0.2397,14,1.050246896,0
2008,Idaho,87.9,24,7.4,54121,267.985,850.128,0.09,12.6,-40.54,4.1,69.55,0.49,0.4644,0.2397,75,0.75806285,1
2008,Illinois,85.9,29.9,11.2,60780,267.985,850.128,0.09,12.2,-40.54,6,88.325,0.49,0.4644,0.2397,41,1.062085494,0
2008,Indiana,86.2,22.9,8.1,53094,267.985,850.128,0.09,13.1,-40.54,5.3,72,0.49,0.4644,0.2397,55,0.899051672,0
2008,Iowa,90.3,24.3,7.3,57228,267.985,850.128,0.09,11.5,-40.54,4.5,63.275,0.49,0.4644,0.2397,45,0.958926468,0
2008,Kansas,89.5,29.6,10.1,54643,267.985,850.128,0.09,11.3,-40.54,4.6,73.5,0.49,0.4644,0.2397,65,0.951426623,1
2008,Kentucky,81.3,19.7,7.9,46963,267.985,850.128,0.09,17.3,-40.54,5.9,57.75,0.49,0.4644,0.2397,42,0.782525154,1
2008,Louisiana,81.2,20.3,6.5,45154,267.985,850.128,0.09,17.3,-40.54,4.8,73.05,0.49,0.4644,0.2397,45,0.962335489,1
2008,Maine,89.7,25.4,8.9,53902,267.985,850.128,0.09,12.3,-40.54,5.7,39.075,0.49,0.4644,0.2397,41,0.795603397,0
2008,Maryland,88,35.2,15.4,72715,267.985,850.128,0.09,8.1,-40.54,3.6,86.925,0.49,0.4644,0.2397,27,1.092477428,0
2008,Massachusetts,88.7,38.1,16.4,68845,267.985,850.128,0.09,10,-40.54,5.4,91.85,0.49,0.4644,0.2397,12,1.254581517,0
2008,Michigan,88.1,24.7,9.4,56824,267.985,850.128,0.09,14.4,-40.54,7.7,74.625,0.49,0.4644,0.2397,49,0.823598686,0
2008,Minnesota,91.6,31.5,10,62687,267.985,850.128,0.09,9.6,-40.54,5.5,72.7,0.49,0.4644,0.2397,35,1.058531849,0
2008,Mississippi,79.9,19.4,6.8,41597,267.985,850.128,0.09,21.2,-40.54,6.5,49.175,0.49,0.4644,0.2397,41,0.684448668,1
2008,Missouri,86.5,25,9.1,52544,267.985,850.128,0.09,13.4,-40.54,5.8,70.15,0.49,0.4644,0.2397,57,0.890849363,1
2008,Montana,90.9,27.1,8.4,48963,267.985,850.128,0.09,14.8,-40.54,5.2,55.45,0.49,0.4644,0.2397,49,0.77758724,1
2008,Nebraska,90.1,27.1,8.6,57897,267.985,850.128,0.09,10.8,-40.54,3.5,72.275,0.49,0.4644,0.2397,63,0.986963079,1
2008,Nevada,83.5,21.9,7,62481,267.985,850.128,0.09,11.3,-40.54,5.6,93.525,0.49,0.4644,0.2397,41,1.018284746,0
2008,New Hampshire,90.9,33.3,12,75528,267.985,850.128,0.09,7.6,-40.54,4.1,60.05,0.49,0.4644,0.2397,40,0.988450652,0
2008,New Jersey,87.4,34.4,12.8,74535,267.985,850.128,0.09,8.7,-40.54,5.1,94.625,0.49,0.4644,0.2397,41,1.193859631,0
2008,New Mexico,82.4,24.7,10.7,48052,267.985,850.128,0.09,17.1,-40.54,4.1,76.8,0.49,0.4644,0.2397,41,0.851366707,0
2008,New York,84.1,31.9,13.8,57592,267.985,850.128,0.09,13.6,-40.54,5.5,87.8,0.49,0.4644,0.2397,35,1.209313857,0
2008,North Carolina,83.6,26.1,8.6,48997,267.985,850.128,0.09,14.6,-40.54,5.3,64.625,0.49,0.4644,0.2397,42,0.941447491,0
2008,North Dakota,89.6,26.9,6.6,56645,267.985,850.128,0.09,12,-40.54,3.8,58.9,0.49,0.4644,0.2397,62,0.999545464,1
2008,Ohio,87.6,24.1,8.7,53567,267.985,850.128,0.09,13.4,-40.54,6.2,77.775,0.49,0.4644,0.2397,56,0.899733477,0
2008,Oklahoma,85.5,22.2,7.2,52627,267.985,850.128,0.09,15.9,-40.54,3.8,65.975,0.49,0.4644,0.2397,54,0.827420921,1
2008,Oregon,88.6,28.1,10.1,59037,267.985,850.128,0.09,13.6,-40.54,6,80.425,0.49,0.4644,0.2397,44,1.002210698,0
2008,Pennsylvania,87.5,26.3,10,58666,267.985,850.128,0.09,12.1,-40.54,5.4,78.3,0.49,0.4644,0.2397,51,0.968203136,0
2008,Rhode Island,83.7,30,11.3,60765,267.985,850.128,0.09,11.7,-40.54,7.2,90.75,0.49,0.4644,0.2397,16,0.945145761,0
2008,South Carolina,83.2,23.7,8.5,48112,267.985,850.128,0.09,15.7,-40.54,6,64.85,0.49,0.4644,0.2397,58,0.761017334,1
2008,South Dakota,90.3,25.1,7.3,58892,267.985,850.128,0.09,12.5,-40.54,3.1,55.5,0.49,0.4644,0.2397,67,0.940393794,1
2008,Tennessee,83,22.9,8,45313,267.985,850.128,0.09,15.8,15.91,6.6,64.87,0.51,0.5563,0.2397,47,0.846036239,1
2008,Texas,79.6,25.3,8.3,53060,267.985,850.128,0.09,5.8,-40.54,4.6,84.15,0.49,0.4644,0.2397,55,0.997541373,1
2008,Utah,90.4,29.1,9.4,71375,267.985,850.128,0.09,9.6,-40.54,3.3,90,0.49,0.4644,0.2397,73,0.89615917,1
2008,Vermont,90.6,32.1,12.2,57872,267.985,850.128,0.09,10.6,-40.54,5,38.725,0.49,0.4644,0.2397,31,0.862874734,0
2008,Virginia,85.9,33.7,13.8,70745,267.985,850.128,0.09,10.2,-40.54,3.7,74.875,0.49,0.4644,0.2397,51,1.074048057,0
2008,Washington,89.6,30.7,10.9,64634,267.985,850.128,0.09,11.3,-40.54,5.3,83.5,0.49,0.4644,0.2397,35,1.135079854,0
2008,West Virginia,82.2,17.1,6.7,43363,267.985,850.128,0.09,17,-40.54,5.1,48.05,0.49,0.4644,0.2397,29,0.716493461,1
2008,Wisconsin,89.6,25.7,8.6,58436,267.985,850.128,0.09,10.4,-40.54,5.2,69.725,0.49,0.4644,0.2397,51,0.921923101,0
2008,Wyoming,91.7,23.6,7.9,60875,267.985,850.128,0.09,9.4,-40.54,3.7,64.875,0.49,0.4644,0.2397,73,1.429350633,1
2012,Alabama,82.1,21.9,8.2,46490,511.12,779.852,1.74,19,15.91,8.3,58.681,0.51,0.5563,0.396,62,0.756359408,1
2012,Alaska,91,27.9,9.9,68080,511.12,779.852,1.74,10.1,15.91,8.2,66.559,0.51,0.5563,0.396,53,1.52551031,1
2012,Arizona,85.6,25.9,9.7,50320,511.12,779.852,1.74,18.7,15.91,8.8,90.294,0.51,0.5563,0.396,68,0.800236726,1
2012,Arkansas,82.9,19.5,6.9,41735,511.12,779.852,1.74,19.8,15.91,8.5,55.828,0.51,0.5563,0.396,44,0.726353386,1
2012,California,80.7,30.1,11.2,60990,511.12,779.852,1.74,17,15.91,11.4,95.95,0.51,0.5563,0.396,36,1.098739539,0
2012,Colorado,89.7,36.4,13.35,61242,511.12,779.852,1.74,13.7,15.91,8.6,86.633,0.51,0.5563,0.396,48,1.03042133,0
2012,Connecticut,88.6,35.5,15.9,68720,511.12,779.852,1.74,10.7,15.91,8.7,88.804,0.51,0.5563,0.396,35,1.318728326,0
2012,Delaware,87.7,27.8,11.5,52382,511.12,779.852,1.74,12,15.91,7.6,83.325,0.51,0.5563,0.396,35,1.290902673,0
2012,District of Columbia,87.4,50.1,29,69789,511.12,779.852,1.74,18.2,15.91,10.1,100,0.51,0.5563,0.396,0,3.390369001,0
2012,Florida,85.5,25.8,9.4,49279,511.12,779.852,1.74,17.1,15.91,9,91.632,0.51,0.5563,0.396,68,0.782648421,0
2012,Georgia,84.3,27.3,10.2,51472,511.12,779.852,1.74,19.2,15.91,9.8,74.967,0.51,0.5563,0.396,64,0.87586436,1
2012,Hawaii,89.9,29.5,10.2,60181,511.12,779.852,1.74,11.6,15.91,6.8,92.718,0.51,0.5563,0.396,12,1.027555703,0
2012,Idaho,88.3,24.4,7.8,51259,511.12,779.852,1.74,15.9,15.91,8.9,70.246,0.51,0.5563,0.396,81,0.707892934,1
2012,Illinois,86.9,30.8,11.8,55340,511.12,779.852,1.74,14.7,15.91,9.7,89.208,0.51,0.5563,0.396,44,1.082999356,0
2012,Indiana,87,22.7,8.4,49372,511.12,779.852,1.74,15.6,15.91,9.2,72.72,0.51,0.5563,0.396,65,0.894158689,0
2012,Iowa,90.6,24.9,7.9,57163,511.12,779.852,1.74,12.7,15.91,6.1,63.908,0.51,0.5563,0.396,56,0.996636003,0
2012,Kansas,89.2,29.8,10.55,53485,511.12,779.852,1.74,14,15.91,6.4,74.235,0.51,0.5563,0.396,75,0.944784766,1
2012,Kentucky,81.9,20.5,8.55,43947,511.12,779.852,1.74,19.4,15.91,9,58.328,0.51,0.5563,0.396,46,0.790560043,1
2012,Louisiana,81.9,21.4,7.1,41806,511.12,779.852,1.74,19.9,15.91,8,73.78,0.51,0.5563,0.396,57,0.944390224,1
2012,Maine,90.3,26.8,9.6,52581,511.12,779.852,1.74,14.7,15.91,8.7,39.466,0.51,0.5563,0.396,53,0.782959902,0
